CLASS; PLAYER NAME; INITIAL POSITION; ZONE BOUNDS
Off ; LCB ; -18, 60 ; -18, -18, 50, 50
Off ; CCB ; 0, 60 ; 0, 0, 50, 50
Off ; RCB ; 18, 60 ; 18, 18, 50, 50
Off ; LM ; -31, 42 ; -31, -31, 32, 32
Off ; LCM ; -10, 45 ; -10, -10, 35, 35
Off ; RCM ; 10, 45 ; 10, 10, 35, 35
Off ; RM ; 31, 42 ; 31, 31, 32, 32
Off ; LW ; -20, 32 ; -20, -20, 22, 22
Off ; CF ; 0, 27 ; 0, 0, 17, 17
Off ; RW ; 20, 32 ; 20, 20, 22, 22
