CLASS; PLAYER NAME; INITIAL POSITION; ZONE BOUNDS
Def ; LCB ; -18, 12 ; -18, -18, 12, 12
Def ; CCB ; 0, 12 ; 0, 0, 12, 12
Def ; RCB ; 18, 12 ; 18, 18, 12, 12
Def ; LWB ; -28, 35 ; -28, -28, 35, 35
Def ; LAM ; -15, 27 ; -15, -15, 27, 27
Def ; CDM ; 0, 25 ; 0, 0, 25, 25
Def ; RAM ; 15, 27 ; 15, 15, 27, 27
Def ; RWB ; 28, 35 ; 28, 28, 35, 35
Def ; LF ; -10, 45 ; -10, -10, 45, 45
Def ; RF ; 10, 45 ; 10, 10, 45, 45
