0;0
Defender RB distance traveled;238.71400104555278;197.63511578950943
Defender RB interceptions;0;0
Defender RB interception locations;[];[]
Defender RB number of blocks;0;0
Defender LM distance traveled;238.702825760214;197.6159274163144
Defender LM interceptions;0;0
Defender LM interception locations;[];[]
Defender LM number of blocks;0;1
Defender LCM distance traveled;238.80000000000803;197.5235831958723
Defender LCM interceptions;0;0
Defender LCM interception locations;[];[]
Defender LCM number of blocks;2;1
Defender RCM distance traveled;238.75524661324073;197.72392596721238
Defender RCM interceptions;0;0
Defender RCM interception locations;[];[]
Defender RCM number of blocks;0;0
Defender RM distance traveled;238.75871028894576;197.66048373316312
Defender RM interceptions;0;0
Defender RM interception locations;[];[]
Defender RM number of blocks;0;0
Defender LF distance traveled;238.60605643266385;197.50671323609856
Defender LF interceptions;0;0
Defender LF interception locations;[];[]
Defender LF number of blocks;0;0
Defender RF distance traveled;238.62191573856788;197.64102604199806
Defender RF interceptions;0;0
Defender RF interception locations;[];[]
Defender RF number of blocks;0;0
