sep=;
Defender RM distance traveled;65.74800515649292;66.52400897621483
Defender RM interceptions;0;0
Defender RM interception locations;[];[]
Defender RM number of blocks;0;0
Defender LW distance traveled;65.85000000000137;66.52178390124583
Defender LW interceptions;0;0
Defender LW interception locations;[];[]
Defender LW number of blocks;0;0
Defender CF distance traveled;65.83448664731907;66.47804757660481
Defender CF interceptions;0;0
Defender CF interception locations;[];[]
Defender CF number of blocks;0;4
Defender RW distance traveled;65.8427163659641;66.48053960636136
Defender RW interceptions;0;0
Defender RW interception locations;[];[]
Defender RW number of blocks;0;0
