CLASS; INITIAL POSITION; ZONE BOUNDS
Def ; -35, 15 ; -35, -35, 15, 15
Def ; -10, 12 ; -10, -10, 12, 12
Def ; 10, 12 ; 10, 10, 12, 12
Def ; 35, 15 ; 35, 35, 15, 15
Def ; -20, 27 ; -20, -20, 27, 27
Def ; 0, 25 ; 0, 0, 25, 25
Def ; 20, 27 ; 20, 20, 27, 27
Def ; -23, 40 ; -23, -23, 40, 40
Def ; 0, 45 ; 0, 0, 45, 45
Def ; 23, 40 ; 23, 23, 40, 40
