Game won?;1;1;0;0;1;0;0;1;1;1
Distance Ball Traveled;72.5335999999999;98.7386999999997;93.67665000000031;112.61830000000042;68.26120000000016;26.5604499999998;203.0534999999992;113.87205000000007;202.5860999999999;44.600399999999915
Distance Ball Traveled Alone;72.5335999999999;98.7386999999997;93.67665000000031;112.61830000000042;68.26120000000016;26.5604499999998;203.0534999999992;113.87205000000007;202.5860999999999;44.600399999999915
Distance Ball was held;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Time steps the ball was alone;1183;1733;2048;2230;1197;586;3668;2030;3553;725
Time steps the ball was held;732;760;479;236;3;58;1941;186;1815;628
Offender RCB distance traveled;57.45000000000093;74.79000000000072;71.77000000000115;73.98000000000114;36.00000000000017;19.319999999999972;168.27000000000422;66.48000000000013;154.0800000000061;40.59000000000038
Offender RCB distance traveled without ball;55.020000000000856;73.26000000000059;64.1200000000011;73.98000000000114;36.00000000000017;17.609999999999957;168.27000000000422;66.48000000000013;141.42000000000561;40.59000000000038
Offender RCB distance traveled with ball;2.429999999999998;1.5300000000000136;7.650000000000016;0;0;1.7099999999999984;0;0;12.66000000000002;0
Offender RCB time steps without ball;1834;2442;2271;2466;1200;587;5609;2216;4944;1353
Offender RCB time steps with ball;81;51;256;0;0;57;0;0;424;0
Offender RCB receive locations;[];[];[(-0.8600545702864768, 58.97670943815378)];[];[];[];[];[];[(18.524080537439733, 49.66033695424319), (-2.20968931088116, 42.583566020805385)];[]
Offender RCB number of keeps;81;51;255;0;0;57;0;0;422;0
Offender RCB number of goals;0;0;0;0;0;0;0;0;0;0
Offender RCB location of goal shots;[];[];[];[];[];[];[];[];[];[]
Offender RCB number of passes;1;1;1;0;0;1;0;1;2;0
Offender RCB number of goal attempts;0;0;0;0;0;0;0;0;0;0
Offender RCB locations of goal attempts;[];[];[];[];[];[];[];[];[];[]
Offender CCB distance traveled;57.450000000001005;74.79000000000106;75.81000000000101;73.98000000000094;36.000000000000085;19.320000000000004;162.47000000000548;66.48000000000094;154.70000000000508;40.59000000000029
