Game won?;0;0;1;0;0;0;0;0;1;1
Distance Ball Traveled;108.70465000000115;83.48765000000016;252.11759999999973;135.1244000000004;131.38684999999998;432.46599999999364;726.8945499999941;374.1517000000012;282.26489999999995;327.947449999993
Distance Ball Traveled Alone;108.70465000000115;83.48765000000016;252.11759999999973;135.1244000000004;131.38684999999998;432.46599999999364;726.8945499999941;374.1517000000012;282.26489999999995;327.947449999993
Distance Ball was held;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Time steps the ball was alone;2514;1381;4685;2597;2572;10380;15453;7379;5414;7641
Time steps the ball was held;62;816;941;653;967;2169;4641;2574;992;2162
Offender RB distance traveled;77.23828188622458;65.91000000000072;164.9600000000055;97.50000000000207;98.83000000000196;367.6109234392035;579.0361463152266;294.90999999998405;185.0400000000046;290.66999999999274
Offender RB distance traveled without ball;77.23828188622458;65.91000000000072;164.9600000000055;97.50000000000207;93.01000000000175;357.050923439209;558.5761463152517;294.90999999998405;185.0400000000046;290.66999999999274
Offender RB distance traveled with ball;0;0;0;0;5.820000000000007;10.560000000000022;20.459999999999937;0;0;0
Offender RB time steps without ball;2576;2197;5625;3250;3343;12195;19406;9952;6404;9802
Offender RB time steps with ball;0;0;1;0;196;354;688;1;2;1
Offender RB receive locations;[];[];[(-12.059023067311154, 41.09837809405127)];[];[(-22.06377388422126, 55.061555605102676), (-12.998212307138418, 49.94888543712597)];[(-5.048641193195457, 40.00220396988788), (-7.769301154604793, 46.074119502340714)];[(-2.26244010632616, 37.794439132672906), (5.297369666775284, 36.3908904497549), (11.750198342620854, 36.99903770091369), (5.025487706904249, 37.022660982963714), (-19.076644597492404, 34.79903148363087), (-28.51988031495756, 42.47304159881447)];[(-22.44616963499063, 41.75081392355669)];[(-27.27393128173668, 51.5950218194799), (-18.315428971065774, 53.843992060005135)];[(-43.159209141758836, 33.378304250155246)]
Offender RB number of keeps;0;0;0;0;194;352;682;0;0;0
Offender RB number of goals;0;0;0;0;0;0;0;0;0;0
Offender RB location of goal shots;[];[];[];[];[];[];[];[];[];[]
Offender RB number of passes;0;0;1;0;2;2;6;1;2;1
Offender RB number of goal attempts;0;0;0;0;0;0;0;0;0;0
Offender RB locations of goal attempts;[];[];[];[];[];[];[];[];[];[]
Offender RCB distance traveled;77.19634140359821;65.91000000000035;168.78000000000455;94.18000000000181;98.03000000000155;355.5122136995656;597.6011227510583;290.3699999999919;180.2800000000032;255.17000000001337
Offender RCB distance traveled without ball;77.19634140359821;65.91000000000035;166.83000000000453;94.18000000000181;95.84000000000137;351.28221369956924;585.301122751074;287.1599999999933;172.6900000000034;232.37000000001223
Offender RCB distance traveled with ball;0;0;1.9499999999999962;0;2.1900000000000106;4.229999999999998;12.299999999999981;3.2099999999999986;7.589999999999981;22.80000000000005
Offender RCB time steps without ball;2576;2197;5561;3249;3463;12407;19681;9843;6149;9040
Offender RCB time steps with ball;0;0;65;1;76;142;413;110;257;763
Offender RCB receive locations;[];[];[];[(-0.3782312895222208, 58.915029850232465)];[(0.8521082857465224, 58.898268828991846), (-0.26177708566626157, 58.17090237233458), (-25.67569281247822, 39.950547555029345)];[(16.781339537823506, 28.832355454995053)];[(-2.1443709214222197, 52.320511326970205), (1.9569641421211692, 30.169354273446913), (-14.61796770349595, 50.66737809228055)];[(-0.08250370579697815, 38.51712837564384), (-1.1052664597941968, 55.32700731999592), (-11.183612740539026, 55.155865044994066)];[(-3.508178354370027, 57.72999564634121), (-17.752737085990915, 46.09366787384766), (-12.633312168051889, 52.821266741565154), (-2.3285655977811093, 50.15710567542996)];[(5.676582593644159, 40.288875943121745), (-30.16168667351068, 21.742017544791935), (-20.07458013561466, 33.394246584487874)]
Offender RCB number of keeps;0;0;65;0;73;141;410;107;253;760
Offender RCB number of goals;0;0;0;0;0;0;0;0;0;0
Offender RCB location of goal shots;[];[];[];[];[];[];[];[];[];[]
Offender RCB number of passes;0;0;1;1;3;1;3;3;4;4
Offender RCB number of goal attempts;0;0;0;0;0;0;0;0;0;0
Offender RCB locations of goal attempts;[];[];[];[];[];[];[];[];[];[]
Offender LCB distance traveled;70.94000000000113;65.91000000000048;162.36000000000507;94.44000000000145;106.17000000000283;344.60999999996255;590.20640650656;292.1499999999955;188.90000000000546;290.76979803409887
Offender LCB distance traveled without ball;69.23000000000104;58.08000000000027;160.200000000005;89.49000000000125;99.93000000000266;339.59999999996506;566.4764065065785;285.0999999999977;182.60000000000525;284.88979803410115
Offender LCB distance traveled with ball;1.7099999999999844;7.83000000000002;2.1599999999999837;4.9500000000000215;6.24;5.010000000000009;23.729999999999944;7.049999999999986;6.3000000000000345;5.8799999999999955
Offender LCB time steps without ball;2517;1936;5552;3084;3331;12379;19299;9715;6194;9606
Offender LCB time steps with ball;59;261;74;166;208;170;795;238;212;197
Offender LCB receive locations;[(-1.4099733844048632, 45.02628851036284), (9.59458138039973, 43.35440485378529)];[];[(3.078474643677365, 57.76689208056468), (6.705625850342513, 37.99725207391503)];[(7.688180392143284, 41.74431940372364)];[];[(26.70955707600321, 58.472849931253585), (5.390896921072565, 37.23838857936574), (34.92874387254641, 13.69791142709758)];[(-3.365084168867221, 50.220939583023416), (-14.298058768512227, 29.5113923460824), (5.564139145896391, 32.00641703984059), (-8.010163223082051, 46.06976485444151)];[(-2.266968810707428, 40.11192076412373), (-1.4242584437429604, 55.63587162720351), (27.872050241592547, 47.05319643850848)];[(-7.408678497004155, 50.284264557836444), (-1.550771774511053, 50.87000932843757)];[(-3.257912931088091, 42.07894911070176)]
