CLASS; PLAYER NAME; INITIAL POSITION; ZONE BOUNDS
Off ; RCB ; -18, 57 ; -18, -18, 50, 50
Off ; CCB ; 0, 57 ; 0, 0, 50, 50
Off ; LCB ; 18, 57 ; 18, 18, 50, 50
Off ; RWB ; -28, 37 ; -28, -28, 27, 27
Off ; RDM ; -12, 47 ; -12, -12, 37, 37
Off ; CAM ; 0, 39 ; 0, 0, 29, 29
Off ; LDM ; 12, 47 ; 12, 12, 37, 37
Off ; LWB ; 28, 37 ; 28, 28, 27, 27
Off ; RF ; -10, 27 ; -10, -10, 17, 17
Off ; LF ; 10, 27 ; 10, 10, 17, 17
