CLASS; INITIAL POSITION; ZONE BOUNDS
Off ; -35, 57 ; -35, -35, 47, 47
Off ; -10, 60 ; -10, -10, 50, 50
Off ; 10, 60 ; 10, 10, 50, 50
Off ; 35, 57 ; 35, 35, 47, 47
Off ; -7, 49 ; -7, -7, 39, 39
Off ; 7, 49 ; 7, 7, 39, 39
Off ; -25, 37 ; -25, -25, 27, 27
Off ; 0, 35 ; 0, 0, 25, 25
Off ; 25, 37 ; 25, 25, 27, 27
Off ; 0, 27 ; 0, 0, 17, 17
