Game won?;0;0;0;0;0;0;0;0;0;0
Distance Ball Traveled;159.97625;137.98905;305.20969999999994;108.23434999999975;73.16899999999995;154.34139999999948;174.1278999999953;193.38615000000007;79.69204999999975;18.93374999999996
Distance Ball Traveled Alone;159.97625;137.98905;305.20969999999994;108.23434999999975;73.16899999999995;154.34139999999948;174.1278999999953;193.38615000000007;79.69204999999975;18.93374999999996
Distance Ball was held;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Time steps the ball was alone;3081;2783;5880;2230;1459;3653;4808;3773;1474;374
Time steps the ball was held;1326;477;1669;806;341;1455;1199;805;100;1
Offender RB distance traveled;127.3300000000036;97.80000000000206;226.47000000000713;91.0800000000011;54.000000000000306;153.24000000000413;175.89000000000587;133.8200000000027;47.220000000000525;11.249999999999984
Offender RB distance traveled without ball;115.6000000000029;97.80000000000206;226.47000000000713;91.0800000000011;54.000000000000306;153.24000000000413;174.0600000000058;127.52000000000245;47.220000000000525;11.249999999999984
Offender RB distance traveled with ball;11.730000000000038;0;0;0;0;0;1.8300000000000016;6.2999999999999945;0;0
Offender RB time steps without ball;4014;3260;7549;3036;1800;5108;5945;4367;1574;375
Offender RB time steps with ball;393;0;0;0;0;0;62;211;0;0
Offender RB receive locations;[(0.5862045302341389, 53.39010033323429), (-6.520873663096599, 56.995395422368844)];[];[];[];[];[];[(2.8061206443976854, 46.74701846592912)];[(-27.98684864800716, 56.97853286654123)];[];[]
Offender RB number of keeps;391;0;0;0;0;0;61;210;0;0
Offender RB number of goals;0;0;0;0;0;0;0;0;0;0
Offender RB location of goal shots;[];[];[];[];[];[];[];[];[];[]
Offender RB number of passes;2;0;0;0;0;0;1;1;0;0
Offender RB number of goal attempts;0;0;0;0;0;0;0;0;0;0
Offender RB locations of goal attempts;[];[];[];[];[];[];[];[];[];[]
Offender RCB distance traveled;128.79000000000406;94.5826520619794;217.59000000000523;91.08000000000166;54.0000000000006;153.24000000000427;159.44999999999433;132.82000000000434;47.22000000000013;11.249999999999972
Offender RCB distance traveled without ball;127.08000000000402;92.45265206197932;215.55000000000516;82.08000000000119;54.0000000000006;141.45000000000405;145.01999999999387;123.670000000004;47.22000000000013;11.249999999999972
Offender RCB distance traveled with ball;1.7099999999999975;2.129999999999994;2.0399999999999996;8.999999999999945;0;11.790000000000028;14.430000000000032;9.149999999999997;0;0
Offender RCB time steps without ball;4349;3188;7478;2736;1799;4715;5525;4271;1574;375
Offender RCB time steps with ball;58;72;71;300;1;393;482;307;0;0
Offender RCB receive locations;[(25.18665204917679, 54.62456585095684)];[(5.621367772063742, 41.79765806191893)];[(3.2630756191329717, 30.114462152571683), (13.677158166382196, 34.31622075598512), (-18.863468959795252, 42.669796389268015)];[];[(-4.907160989050737, 54.987989012700695)];[];[(37.3473065079022, 52.95663230119053)];[(-19.59605432561393, 57.17764974694086), (-4.917794585962561, 31.51210529537834)];[];[]
Offender RCB number of keeps;57;71;68;300;0;393;481;305;0;0
Offender RCB number of goals;0;0;0;0;0;0;0;0;0;0
Offender RCB location of goal shots;[];[];[];[];[];[];[];[];[];[]
Offender RCB number of passes;1;1;4;1;2;1;2;3;0;0
Offender RCB number of goal attempts;0;0;0;0;0;0;0;0;0;0
Offender RCB locations of goal attempts;[];[];[];[];[];[];[];[];[];[]
Offender LCB distance traveled;129.6700000000039;97.78437380283883;220.03000000000574;91.08000000000163;53.92000000000044;153.24000000000447;173.91000000000435;134.14000000000428;47.22000000000047;11.250000000000025
Offender LCB distance traveled without ball;128.1100000000039;97.78437380283883;215.50000000000557;91.08000000000163;53.92000000000044;153.24000000000447;160.65000000000398;134.14000000000428;44.310000000000336;11.250000000000025
Offender LCB distance traveled with ball;1.5600000000000136;0;4.5300000000000065;0;0;0;13.260000000000026;0;2.9100000000000152;0
Offender LCB time steps without ball;4354;3260;7396;3036;1800;5108;5563;4577;1477;375
Offender LCB time steps with ball;53;0;153;0;0;0;444;1;97;0
Offender LCB receive locations;[(6.087865586212865, 51.166413171789245)];[];[(1.9540160458004003, 26.234616585094155), (-6.784165376972179, 24.10627842412926)];[];[];[];[(-5.35161126045991, 58.991665832676354), (8.617934945990145, 47.079491665390435)];[(-2.2139777799372284, 39.27413017452347)];[];[]
Offender LCB number of keeps;52;0;151;0;0;0;442;0;97;0
Offender LCB number of goals;0;0;0;0;0;0;0;0;0;0
Offender LCB location of goal shots;[];[];[];[];[];[];[];[];[];[]
Offender LCB number of passes;2;1;2;0;0;0;2;1;1;1
Offender LCB number of goal attempts;0;0;0;0;0;0;0;0;0;0
Offender LCB locations of goal attempts;[];[];[];[];[];[];[];[];[];[]
Offender LB distance traveled;126.41000000000226;94.28000000000173;222.81000000000626;91.08000000000187;54.000000000000206;149.36000000000396;176.73000000000525;137.34000000000353;47.22000000000043;11.250000000000036
Offender LB distance traveled without ball;122.63000000000223;91.73000000000167;220.65000000000614;91.08000000000187;54.000000000000206;149.36000000000396;176.73000000000525;137.34000000000353;47.22000000000043;11.250000000000036
Offender LB distance traveled with ball;3.7800000000000136;2.550000000000008;2.160000000000002;0;0;0;0;0;0;0
Offender LB time steps without ball;4279;3174;7476;3036;1800;5107;6006;4578;1574;375
Offender LB time steps with ball;128;86;73;0;0;1;1;0;0;0
Offender LB receive locations;[(35.97077452498626, 50.86135060030472), (41.74601741883318, 53.451770785469954)];[(27.979999999999528, 57.0)];[(25.283299315058763, 27.539684223047374)];[];[];[(10.306993914510263, 47.31606652219484)];[(26.242843714067554, 48.06485379291321)];[];[];[]
