CLASS; INITIAL POSITION; ZONE BOUNDS
Off ; -35, 57 ; -35, -35, 47, 47
Off ; -10, 60 ; -10, -10, 50, 50
Off ; 10, 60 ; 10, 10, 50, 50
Off ; 35, 57 ; 35, 35, 47, 47
Off ; -20, 27 ; -20, -20, 27, 27
Off ; 0, 47 ; 0, 0, 47, 47
Off ; 20, 45 ; 20, 20, 45, 45
Off ; -23, 32 ; -23, -23, 22, 22
Off ; 0, 27 ; 0, 0, 17, 17
Off ; 23, 32 ; 23, 23, 22, 22
