Game won?;0;0;0;0;0;0;0;0;1;0
Distance Ball Traveled;81.5064999999993;146.45079999999987;125.19094999999984;454.03429999999963;648.4403000000004;224.6973000000015;50.12429999999976;92.22694999999955;218.48735000000067;254.28769999999565
Distance Ball Traveled Alone;81.5064999999993;146.45079999999987;125.19094999999984;454.03429999999963;648.4403000000004;224.6973000000015;50.12429999999976;92.22694999999955;218.48735000000067;254.28769999999565
Distance Ball was held;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Time steps the ball was alone;1685;3315;2377;9386;12438;4637;1221;1857;4167;6640
Time steps the ball was held;158;1646;987;1857;5102;1911;67;702;1333;2414
Offender RB distance traveled;55.29000000000043;145.28946975009194;97.16000000000135;323.6699999999736;498.45999999986105;192.24000000000657;38.64;72.0900000000013;161.2600000000042;264.4400000000067
Offender RB distance traveled without ball;55.29000000000043;142.5294697500919;93.9800000000011;320.78999999997484;481.02999999987225;185.3100000000063;38.64;72.0900000000013;150.43000000000353;252.1700000000076
Offender RB distance traveled with ball;0;2.759999999999986;3.1799999999999904;2.8800000000000074;17.430000000000014;6.9300000000000175;0;0;10.830000000000018;12.270000000000083
Offender RB time steps without ball;1843;4868;3257;11142;16953;6316;1288;2558;5138;8643
Offender RB time steps with ball;0;93;107;101;587;232;0;1;362;411
Offender RB receive locations;[];[(-32.4652684945039, 52.43073526614861)];[(-19.85517360511495, 42.6788985010496)];[(-16.135770227482684, 36.34617582704082), (-41.21953921649777, 48.199644781742705), (-33.19613065045423, 51.601776262735825), (-41.306957308424, 50.433747450224004), (-11.037885330154607, 38.58027632977602)];[(-18.366470232153212, 40.985717233942154), (-41.112870141474126, 46.962681486273596), (0.49694978294189945, 39.852136503013455), (-4.839329551301543, 54.18898455674772), (-11.110379767926524, 56.784575991849394), (5.066732080206708, 39.64199362739298)];[(-3.9027459298508997, 38.562381575267096)];[];[(-15.448345480998741, 57.24740330066474)];[(-17.261381145798254, 31.983185354453767)];[(-30.793149367767093, 53.73997461374263), (-21.398367433185363, 56.67118542484586)]
Offender RB number of keeps;0;92;106;96;581;231;0;0;361;409
Offender RB number of goals;0;0;0;0;0;0;0;0;0;0
Offender RB location of goal shots;[];[];[];[];[];[];[];[];[];[]
Offender RB number of passes;0;1;1;5;6;1;0;1;1;2
Offender RB number of goal attempts;0;0;0;0;0;0;0;0;0;0
Offender RB locations of goal attempts;[];[];[];[];[];[];[];[];[];[]
Offender RCB distance traveled;55.29000000000018;148.83000000000376;97.82000000000197;275.66999999998416;510.3799999998797;193.1400000000053;38.640000000000235;74.73000000000077;158.84000000000586;268.48000000000525
Offender RCB distance traveled without ball;55.29000000000018;142.29000000000357;93.65000000000177;265.82999999999157;488.8999999998923;188.7300000000049;38.640000000000235;72.21000000000066;148.55000000000547;264.0700000000062
Offender RCB distance traveled with ball;0;6.539999999999989;4.170000000000015;9.840000000000062;21.480000000000004;4.4100000000000135;0;2.520000000000017;10.289999999999997;4.409999999999989
Offender RCB time steps without ball;1843;4743;3224;10913;16818;6400;1288;2474;5155;8906
Offender RCB time steps with ball;0;218;140;330;722;148;0;85;345;148
Offender RCB receive locations;[];[];[(-13.774578177366193, 38.0644367098599)];[(-14.9019609364655, 40.49282383781937), (-11.143187834805339, 33.86195205746655)];[(-18.424391150180437, 43.44127251243883), (-11.219028415977037, 50.6784265346903), (15.457032955280452, 51.66771960562531), (0.1044437848431553, 57.486147416318225), (3.520528781913135, 45.40677789853671), (13.478642216431957, 38.68140109260051)];[(-0.40114165783840683, 35.431569574732784)];[];[(-17.037829419482012, 57.36481737088022)];[(-13.507273648872332, 40.40049616515702), (-13.266972738258318, 39.693985124205405)];[(-12.192363363020105, 39.508972044207304)]
Offender RCB number of keeps;0;218;139;328;716;147;0;84;343;147
Offender RCB number of goals;0;0;0;0;0;0;0;0;0;0
Offender RCB location of goal shots;[];[];[];[];[];[];[];[];[];[]
Offender RCB number of passes;0;1;2;3;7;2;0;1;3;2
Offender RCB number of goal attempts;0;0;0;0;0;0;0;0;0;0
Offender RCB locations of goal attempts;[];[];[];[];[];[];[];[];[];[]
Offender LCB distance traveled;55.29000000000053;148.830000000004;100.92000000000205;327.2899999999736;513.2999999998938;187.7800000000053;38.64000000000049;76.77000000000113;165.00000000000472;271.6200000000039
Offender LCB distance traveled without ball;52.4700000000002;148.830000000004;100.92000000000205;324.1399999999744;488.42999999990366;178.96000000000498;36.6900000000004;72.27000000000093;165.00000000000472;271.6200000000039
Offender LCB distance traveled with ball;2.820000000000009;0;0;3.1499999999999857;24.869999999999976;8.820000000000013;1.9499999999999953;4.499999999999978;0;0
Offender LCB time steps without ball;1749;4961;3364;11135;16705;6251;1223;2409;5500;9054
Offender LCB time steps with ball;94;0;0;108;835;297;65;150;0;0
Offender LCB receive locations;[];[];[];[(-21.65656222329323, 56.44237937669722), (-0.450324060725731, 39.71995985123033), (-1.7873566637845009, 39.29088306415617)];[(-0.0037359417369213503, 37.994225615561824), (-4.117652683484969, 39.53474640238999), (20.399920868241804, 41.046925319589164), (29.616612441698987, 58.242740339448076), (14.747385960807136, 45.56025668237893), (31.81864396402065, 44.26757116439526)];[(5.928710527256946, 40.40373666743687), (-0.4440090264933783, 43.63518725747689), (2.126070855011661, 33.48747596169356)];[];[];[];[]
Offender LCB number of keeps;94;0;0;105;829;294;65;150;0;0
Offender LCB number of goals;0;0;0;0;0;0;0;0;0;0
Offender LCB location of goal shots;[];[];[];[];[];[];[];[];[];[]
Offender LCB number of passes;1;0;0;3;6;3;1;1;0;0
